epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.25457,1.17596,4.77604,0.42999,1.15078,1.20134,0.8023,0.90909,0.84663,0.56216,0.76046,0.72727,0.73079,0.30913,1.26675,3.15323,0.14346,0.86699,0.98315,0.000555556,0.000555556,0.000555556
2,15.8612,1.3631,5.07416,0.30757,1.20397,1.20691,0.93936,0.63636,0.75675,0.5936,0.58118,0.54545,0.49616,0.16749,1.20615,4.85016,0.1492,1.31809,1.25971,0.00118189,0.00118189,0.00118189
3,23.1689,1.41734,6.69268,0.36976,1.61482,1.15006,0.93936,0.63636,0.75675,0.5936,0.58118,0.54545,0.49616,0.16749,1.20615,4.85016,0.1492,1.31809,1.25971,0.00176422,0.00176422,0.00176422
4,30.5256,1.35293,7.46183,0.34804,1.7076,1.129,0.66988,0.63636,0.60514,0.33383,0.24359,0.43978,0.21367,0.04659,1.58011,7.23696,0.29067,2.69772,1.52161,0.001802,0.001802,0.001802
5,37.8914,1.49912,7.63446,0.3839,1.86452,1.2404,0.75632,0.84803,0.7374,0.28473,0.34599,0.27273,0.15359,0.02222,1.5853,6.89194,0.27306,1.73815,1.60671,0.001736,0.001736,0.001736
6,45.2388,1.43274,7.71258,0.40483,1.54569,1.22609,0.6619,0.8909,0.67804,0.26048,0.2064,0.27273,0.06304,0.00736,1.81823,6.34592,0.17128,2.1871,1.75067,0.00167,0.00167,0.00167
7,52.5215,1.6453,6.98914,0.31721,1.6567,1.34582,0.6619,0.8909,0.67804,0.26048,0.2064,0.27273,0.06304,0.00736,1.81823,6.34592,0.17128,2.1871,1.75067,0.001604,0.001604,0.001604
8,59.8668,1.42432,6.49978,0.32291,1.55408,1.33191,0.31235,0.45455,0.31453,0.1169,0.0491,0.27273,0.01447,0.00335,1.5398,6.9171,0.24631,2.77074,1.40977,0.001538,0.001538,0.001538
9,67.1887,1.33804,6.01548,0.25764,1.46972,1.20475,0.39513,0.95101,0.44933,0.23021,0.07413,0.18182,0.01836,0.004,1.25093,6.55847,0.10896,2.62736,1.32064,0.001472,0.001472,0.001472
10,74.5265,1.37733,6.16161,0.32944,1.26492,1.25921,0.54806,0.90909,0.74122,0.36379,0.25534,0.36364,0.16719,0.04068,1.29557,5.82084,0.09867,2.51501,1.26127,0.001406,0.001406,0.001406
11,81.925,1.22303,5.57776,0.25545,1.14237,1.15558,0.54806,0.90909,0.74122,0.36379,0.25534,0.36364,0.16719,0.04068,1.29557,5.82084,0.09867,2.51501,1.26127,0.00134,0.00134,0.00134
12,89.1974,1.14504,5.27777,0.2619,1.16066,1.17191,0.71091,0.54545,0.8187,0.5419,0.54047,0.36364,0.44764,0.15496,1.18788,5.2247,0.07764,2.0535,1.1992,0.001274,0.001274,0.001274
13,96.4823,1.17898,5.2282,0.32215,1.09158,1.17152,0.74066,0.72727,0.83388,0.57015,0.32981,0.18182,0.19834,0.07833,1.17541,5.38297,0.07712,1.65714,1.22417,0.001208,0.001208,0.001208
14,103.724,1.10056,5.64953,0.27326,1.13851,1.15681,0.86635,0.81818,0.82842,0.50418,0.65314,0.36364,0.45796,0.1153,1.25173,5.0274,0.09117,1.42279,1.26595,0.001142,0.001142,0.001142
15,110.965,1.13118,4.86482,0.26391,1.06754,1.15595,0.86635,0.81818,0.82842,0.50418,0.65314,0.36364,0.45796,0.1153,1.25173,5.0274,0.09117,1.42279,1.26595,0.001076,0.001076,0.001076
16,118.921,1.16249,5.47307,0.27023,1.02672,1.16757,0.90739,0.89212,0.93009,0.69579,0.76114,0.63636,0.65014,0.19295,1.10328,4.3066,0.08418,1.03771,1.19441,0.00101,0.00101,0.00101
17,126.945,1.08855,4.74789,0.27334,0.89792,1.14857,0.9088,0.9062,0.93481,0.7184,0.74658,0.63636,0.64643,0.24157,0.99484,3.77719,0.07802,0.96697,1.13219,0.000944,0.000944,0.000944
18,135.525,1.03102,4.45809,0.23734,0.87274,1.13158,0.90874,0.90563,0.94024,0.75749,0.65895,0.81818,0.72276,0.33137,0.92289,3.69304,0.06939,1.02134,1.0965,0.000878,0.000878,0.000878
19,143.661,1.01273,4.87091,0.2759,0.9073,1.10118,0.90874,0.90563,0.94024,0.75749,0.65895,0.81818,0.72276,0.33137,0.92289,3.69304,0.06939,1.02134,1.0965,0.000812,0.000812,0.000812
20,151.675,1.17598,4.97716,0.25934,0.94885,1.22254,0.89355,1,0.965,0.74387,0.73018,0.81818,0.7475,0.35994,0.85625,3.53558,0.06683,0.94332,1.05794,0.000746,0.000746,0.000746
21,159.666,0.85467,4.12243,0.09498,0.99454,1.07466,0.89582,0.90909,0.93827,0.68981,0.91894,0.54545,0.69214,0.33515,0.86661,3.4812,0.06694,0.83312,1.04168,0.00068,0.00068,0.00068
22,167.431,0.90488,4.24487,0.08366,0.82502,1.03142,0.97366,0.81818,0.95023,0.75329,0.95052,0.63636,0.71415,0.29531,0.85896,3.48601,0.06279,0.82562,1.01841,0.000614,0.000614,0.000614
23,175.085,0.85354,3.78751,0.06616,0.81938,1.03121,0.97366,0.81818,0.95023,0.75329,0.95052,0.63636,0.71415,0.29531,0.85896,3.48601,0.06279,0.82562,1.01841,0.000548,0.000548,0.000548
24,182.718,0.91443,3.66936,0.07002,0.79752,1.02198,0.90278,1,0.9575,0.76568,0.83928,0.45455,0.52566,0.29366,0.83057,3.53982,0.06089,0.79306,1.00442,0.000482,0.000482,0.000482
25,190.469,0.78905,3.58028,0.07014,0.76657,0.98143,0.89923,1,0.9725,0.75675,0.94371,0.45455,0.56867,0.32292,0.82681,3.45128,0.05953,0.78953,0.99838,0.000416,0.000416,0.000416
26,197.829,0.86785,3.65431,0.09214,0.75798,1.05542,0.90552,1,0.9725,0.75484,0.52799,0.72727,0.60286,0.33512,0.78426,3.26467,0.05659,0.7829,0.97617,0.00035,0.00035,0.00035
27,205.112,0.8091,3.52848,0.06309,0.70729,0.97779,0.90552,1,0.9725,0.75484,0.52799,0.72727,0.60286,0.33512,0.78426,3.26467,0.05659,0.7829,0.97617,0.000284,0.000284,0.000284
28,212.477,0.87035,3.52824,0.06029,0.79098,1.03976,0.90201,1,0.965,0.76089,0.53639,0.63146,0.54157,0.30322,0.78613,3.19277,0.05265,0.76509,0.95791,0.000218,0.000218,0.000218
29,219.892,0.83593,3.21284,0.05448,0.7185,1.03218,0.89917,1,0.9575,0.7486,0.53683,0.6325,0.50278,0.27363,0.78058,3.13788,0.05044,0.77625,0.9467,0.000152,0.000152,0.000152
30,227.284,0.76055,3.42163,0.07523,0.72261,0.94577,0.89743,1,0.9575,0.74747,0.6684,0.63636,0.593,0.28228,0.76829,3.12362,0.0491,0.77721,0.94725,8.6e-05,8.6e-05,8.6e-05
