epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.36741,1.26129,4.91916,0.44624,1.20645,1.24494,0.98831,1,0.995,0.9401,0.8988,0.80835,0.89923,0.78125,0.38081,2.09606,0.32678,0.36124,0.75018,0.000571429,0.000571429,0.000571429
2,3.29667,1.83388,6.32562,0.40194,2.54515,1.6043,0.54519,0.45455,0.39305,0.15099,0.43398,0.36364,0.25676,0.09943,2.55913,6.69524,0.32841,1.86584,2.48146,0.00121358,0.00121358,0.00121358
3,4.30896,1.82055,7.50528,0.3796,2.16948,1.73117,0.21926,0.81818,0.33635,0.17729,0.13237,0.45455,0.16213,0.03212,1.89291,6.0699,0.21104,2.9784,1.8792,0.00182933,0.00182933,0.00182933
4,5.30507,1.87785,7.73781,0.42989,2.13962,1.65256,0.8744,0.27273,0.35105,0.18495,0.18194,0.27273,0.08449,0.02332,2.17159,7.67341,0.29659,3.12344,2.4436,0.0018812,0.0018812,0.0018812
5,6.28648,1.70531,7.29502,0.38207,1.89211,1.60652,0.73539,0.54545,0.56283,0.23315,0.33046,0.36364,0.15737,0.04425,2.1276,7.31931,0.21559,2.42161,2.42755,0.0018416,0.0018416,0.0018416
6,7.27669,1.53431,6.35649,0.30895,1.40433,1.54277,0.16093,0.45455,0.16837,0.03726,0.1352,0.09091,0.03248,0.00384,2.85978,7.84465,0.10786,6.39917,3.61422,0.001802,0.001802,0.001802
7,8.27333,1.53653,6.82169,0.34256,1.31452,1.44234,0.77816,0.36364,0.55178,0.19217,0.77816,0.36364,0.43362,0.15446,2.28648,6.53575,0.07784,3.09128,2.48897,0.0017624,0.0017624,0.0017624
8,9.24668,1.31674,5.98501,0.2881,1.0441,1.26785,0.6899,0.45455,0.48167,0.14545,0.65124,0.36364,0.372,0.12085,2.63559,6.77992,0.26614,3.23393,2.91247,0.0017228,0.0017228,0.0017228
9,10.2182,1.34171,5.76756,0.24366,1.06427,1.36169,0.52146,0.59619,0.51825,0.23584,0.47582,0.54545,0.38,0.16655,1.83313,6.36314,0.27645,1.86071,2.03482,0.0016832,0.0016832,0.0016832
10,11.1791,1.19303,5.45811,0.23201,0.99449,1.28638,0.67955,0.63636,0.74702,0.36311,0.77539,0.36364,0.46889,0.23496,1.77033,6.00473,0.16969,1.50274,1.86365,0.0016436,0.0016436,0.0016436
11,12.146,1.19514,5.46058,0.25341,0.96634,1.33336,0.88795,0.81818,0.88282,0.40772,0.85476,0.63636,0.61831,0.1749,1.59879,5.22203,0.05227,2.2987,1.6463,0.001604,0.001604,0.001604
12,13.1238,1.22619,5.17722,0.24954,0.99077,1.30211,0.66263,0.53665,0.51451,0.28527,0.24266,0.45455,0.14641,0.04975,1.72667,6.09188,0.07542,2.61852,1.69779,0.0015644,0.0015644,0.0015644
13,14.067,1.06101,4.80932,0.22782,0.82434,1.18019,0.51754,0.72727,0.48769,0.24909,0.31302,0.45455,0.19723,0.06334,1.78309,5.98855,0.08071,1.76553,1.75643,0.0015248,0.0015248,0.0015248
14,15.0045,1.17743,5.0588,0.20944,0.9135,1.25033,0.20267,0.54545,0.23206,0.1033,0.12314,0.45455,0.10359,0.03385,2.09818,6.11977,0.40209,2.08305,1.99822,0.0014852,0.0014852,0.0014852
